id,name,fullname,vat,company_registry,mfo,ceo_id:id,dgf_status_id:id,dgf_statusdate,dgf_terminationdateplan,website,active
company_380322,"АТ ""БАНК БОГУСЛАВ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК БОГУСЛАВ""",34540113,34540113,380322,person_2,dict_5,2020-07-20,,https://boguslav.fg.gov.ua,1
company_380355,"ПАТ КБ ""ЄВРОБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК ""ЄВРОБАНК""",33305163,33305163,380355,person_2,dict_5,2020-03-31,,https://eurobank.fg.gov.ua,1
company_380388,"ПАТ ""ПТБ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ПЛАТИНУМ БАНК""",33308489,33308489,380388,person_3,dict_5,2021-03-25,,https://platinum.fg.gov.ua,1
company_380399,"ПАТ ""БАНК КАМБІО""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК КАМБІО""",26549700,26549700,380399,person_2,dict_3,2018-11-12,,https://cambio.fg.gov.ua,1
company_380430,"АТ ""ЄВРОГАЗБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЄВРОПЕЙСЬКИЙ ГАЗОВИЙ БАНК""",34693790,34693790,380430,person_33,dict_6,2019-12-11,2019-12-11,https://eurogaz.fg.gov.ua,0
company_380474,"ПАТ БАНК ""ТРАСТ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО БАНК ""ТРАСТ""",35371070,35371070,380474,person_2,dict_5,2020-11-03,,https://trust.fg.gov.ua,1
company_380515,"АТ ""КБ ""СОЮЗ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""СОЮЗ""",35574578,35574578,380515,person_21,dict_2,2016-04-29,,https://soyuz.fg.gov.ua,1
company_380537,"ПАТ ""ВІЕЙБІ БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ВСЕУКРАЇНСЬКИЙ АКЦІОНЕРНИЙ БАНК""",19017842,19017842,380537,person_2,dict_5,2020-11-30,,https://vab.fg.gov.ua,1
company_380548,"ПАТ ""АСТРА БАНК""","ПАТ ""АСТРА БАНК""",35590956,35590956,380548,,dict_9,2015-07-17,,,0
company_380601,"ПАТ ""ТЕРРА БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ТЕРРА БАНК""",24425738,24425738,380601,person_27,dict_6,2019-05-15,2019-05-15,https://terra.fg.gov.ua,0
company_380612,"АТ ""ЗЛАТОБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЗЛАТОБАНК""",35894495,35894495,380612,person_4,dict_3,2021-08-16,,https://zlatobank.fg.gov.ua,1
company_380667,"АТ ""ЕРДЕ БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЕРДЕ БАНК""",34817907,34817907,380667,person_4,dict_6,2018-11-13,2018-11-13,https://erdebank.fg.gov.ua,0
company_380690,"ПАТ КБ ""СТАНДАРТ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""СТАНДАРТ""",36335426,36335426,380690,person_2,dict_5,2019-01-24,,https://standart.fg.gov.ua,1
